No.,Time,Source,Destination,Protocol,Length
1,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
2,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
3,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,110
4,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
5,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,110
6,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
7,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,98
8,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,98
9,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,98
10,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
11,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
12,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
13,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,98
14,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
15,2023-06-02 16:04:36.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
16,2023-06-02 16:04:36.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
17,2023-06-02 16:04:37.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,105
18,2023-06-02 16:04:37.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,66
19,2023-06-02 16:04:37.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,105
20,2023-06-02 16:04:37.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,66
21,2023-06-02 16:04:39.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
22,2023-06-02 16:04:39.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,110
23,2023-06-02 16:04:39.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
24,2023-06-02 16:04:39.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,98
25,2023-06-02 16:04:39.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,98
26,2023-06-02 16:04:39.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
27,2023-06-02 16:04:39.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
28,2023-06-02 16:04:39.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
29,2023-06-02 16:04:39.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,90
30,2023-06-02 16:04:39.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,90
31,2023-06-02 16:04:41.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
32,2023-06-02 16:04:41.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,78
33,2023-06-02 16:04:43.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,90
34,2023-06-02 16:04:44.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,90
35,2023-06-02 16:04:49.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2054,42
36,2023-06-02 16:04:49.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2054,42
37,2023-06-02 16:04:49.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,270
38,2023-06-02 16:04:50.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,2048,270
39,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
40,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,110
41,2023-06-02 16:04:59.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
42,2023-06-02 16:04:59.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
43,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
44,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,1399
45,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,784
46,2023-06-02 16:04:59.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,93
47,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,95
48,2023-06-02 16:04:59.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,135
49,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,100
50,2023-06-02 16:04:59.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,87
51,2023-06-02 16:04:59.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,94
52,2023-06-02 16:04:59.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,90
53,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,110
54,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,256
55,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,110
56,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,675
57,2023-06-02 16:05:00.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,2048,197
